Utterances;Focusarea
who are you?;you
all about you;you
what is your personality;your
define yourself;yourself
what are you;you
say about you;you
introduce yourself;yourself
describe yourself;yourself
about yourself;yourself
tell me about you;you
tell me about yourself;yourself
I want to know more about you;you
I want to know you better;you
talk some stuff about yourself;yourself
tell me some stuff about you;you
talk about yourself;yourself
why are you here;you
tell me about your personality;your
who are you;you
how old are you?;you
how old is your platform;your
are you 21 years old;you
i'd like to know your age;your
age of yours;yours
your age;your
what's your age;your
tell me your age;your
how old are you;you
you're annoying;you're
you are really annoying;you
you are irritating;you
you annoy me;you
how annoying you are;you
I find you annoying;you
you're incredibly annoying;you're
you are annoying me so much;you
I want you to answer me;you
answer my question;my
answer me;me
give me an answer;me
answer the question;the question
can you answer my question;you
tell me the answer;me
answer it;it
give me the answer;me
I have a question;i
I want you to answer my question;you
just answer the question;the question
can you answer me;you
can you answer a question for me;you
can you answer;you
I want the answer now;i
just answer my question;my
you're not helping me;you're
you are bad;you
you're very bad;you're
you're really bad;you're
you are useless;you
you are horrible;you
you are a waste of time;you
you are disgusting;you
you are lame;you
you are no good;you
you're bad;you're
you're awful;you're
you are not cool;you
you are not good;you
you are so bad;you
you are so useless;you
you are terrible;you
you are totally useless;you
you are very bad;you
you are waste;you
you're a bad;you're
you're not a good;you're
you're not very good;you're
you're terrible;you're
you're the worst;you're
you're the worst ever;you're
you're worthless;you're
can you get smarter;you
you should study better;you
you must learn;you
be more clever;you
be smarter;you
you're cute;you're
you're attractive;you're
you are beautiful;you
you're looking good today;you're
you are so beautiful;you
you look amazing;you
you look so good;you
you're so gorgeous;you're
you are too beautiful;you
you look great;you
you look so well;you
I like the way you look now;you
I think you're beautiful;you're
why are you so beautiful;you
you are so beautiful to me;you
you are cute;you
you are gorgeous;you
you are handsome;you
you are looking awesome;you
you look amazing today;you
you are looking beautiful today;you
you are looking great;you
you are looking pretty;you
you are looking so beautiful;you
you are looking so good;you
you are pretty;you
you are really beautiful;you
you are really cute;you
you are really pretty;you
you are so attractive;you
